id,owner,device,timestamp,cellinfo.wgs84.lon,cellinfo.wgs84.lat,cellinfo.azimuth_degrees,cell
123,AgentT,T_1,2023-05-01 00:35:39,4.343948528788537,52.018561346495936,260,0-0-0
124,AgentM,M_2,2023-05-01 00:36:02,4.3381867139841965,51.997701092782705,300,0-0-0
125,AgentQ,Q_1,2023-05-01 00:36:25,4.331826600915831,52.00559032961253,130,0-0-0
126,AgentS,S_1,2023-05-01 00:36:25,4.3530496140647505,52.013077609082096,250,0-0-0
127,AgentJ,J_2,2023-05-01 00:36:48,4.366390654673757,51.99464126281873,240,0-0-0
128,AgentL,L_2,2023-05-01 00:36:48,4.345045579506649,51.98516872171841,240,0-0-0
129,AgentM,M_2,2023-05-01 00:36:48,4.3381867139841965,51.997701092782705,300,0-0-0
130,AgentG,G_1,2023-05-01 00:37:11,4.3530496140647505,52.013077609082096,30,0-0-0
131,AgentD,D_1,2023-05-01 00:37:34,4.356550142366685,51.996416163037686,300,0-0-0
132,AgentB,B_2,2023-05-01 00:37:57,4.330403173897175,51.991213434504516,80,0-0-0
133,AgentM,M_1,2023-05-01 00:37:57,4.3381867139841965,51.997701092782705,300,0-0-0
134,AgentI,I_2,2023-05-01 00:38:43,4.356195988642664,52.02068273213007,120,0-0-0
135,AgentL,L_2,2023-05-01 00:38:43,4.345045579506649,51.98516872171841,240,0-0-0
136,AgentA,A_1,2023-05-01 00:39:06,4.355013007950339,52.01068585398698,110,0-0-0
137,AgentR,R_2,2023-05-01 00:39:06,4.356550142366685,51.996416163037686,300,0-0-0
138,AgentG,G_1,2023-05-01 00:39:29,4.3530496140647505,52.013077609082096,30,0-0-0
139,AgentP,P_2,2023-05-01 00:39:29,4.356550142366685,51.996416163037686,50,0-0-0
140,AgentO,O_1,2023-05-01 00:39:52,4.3497636751020305,52.00588464056726,210,0-0-0
141,AgentJ,J_2,2023-05-01 00:40:15,4.366390654673757,51.99464126281873,240,0-0-0
142,AgentR,R_2,2023-05-01 00:40:15,4.356550142366685,51.996416163037686,300,0-0-0
143,AgentE,E_2,2023-05-01 00:40:38,4.3458253171449615,51.99296892005271,120,0-0-0
144,AgentI,I_2,2023-05-01 00:40:38,4.356195988642664,52.02068273213007,120,0-0-0
145,AgentN,N_1,2023-05-01 00:40:38,4.354546234187175,51.98921655191236,120,0-0-0
146,AgentK,K_1,2023-05-01 00:41:24,4.367075846877175,51.98436404193879,250,0-0-0
147,AgentR,R_2,2023-05-01 00:41:24,4.356550142366685,51.996416163037686,300,0-0-0
148,AgentE,E_1,2023-05-01 00:41:47,4.3458253171449615,51.99296892005271,120,0-0-0
149,AgentS,S_2,2023-05-01 00:41:47,4.3530496140647505,52.013077609082096,250,0-0-0
150,AgentE,E_1,2023-05-01 00:42:33,4.3458253171449615,51.99296892005271,120,0-0-0
151,AgentP,P_2,2023-05-01 00:42:33,4.356550142366685,51.996416163037686,50,0-0-0
152,AgentR,R_2,2023-05-01 00:42:33,4.356550142366685,51.996416163037686,300,0-0-0
153,AgentQ,Q_1,2023-05-01 00:42:56,4.331826600915831,52.00559032961253,130,0-0-0
154,AgentE,E_1,2023-05-01 00:43:19,4.3458253171449615,51.99296892005271,120,0-0-0
155,AgentJ,J_1,2023-05-01 00:43:19,4.366390654673757,51.99464126281873,240,0-0-0
156,AgentS,S_1,2023-05-01 00:43:42,4.3530496140647505,52.013077609082096,250,0-0-0
157,AgentM,M_1,2023-05-01 00:44:28,4.3381867139841965,51.997701092782705,300,0-0-0
158,AgentH,H_1,2023-05-01 00:45:14,4.356195988642664,52.02068273213007,120,0-0-0
159,AgentJ,J_1,2023-05-01 00:45:14,4.366390654673757,51.99464126281873,240,0-0-0
160,AgentJ,J_2,2023-05-01 00:46:00,4.366390654673757,51.99464126281873,240,0-0-0
161,AgentL,L_2,2023-05-01 00:46:00,4.345045579506649,51.98516872171841,240,0-0-0
162,AgentF,F_1,2023-05-01 00:46:23,4.343948528788537,52.018561346495936,260,0-0-0
163,AgentM,M_2,2023-05-01 00:46:23,4.3381867139841965,51.997701092782705,300,0-0-0
164,AgentD,D_1,2023-05-01 00:46:46,4.356550142366685,51.996416163037686,300,0-0-0
165,AgentM,M_2,2023-05-01 00:46:46,4.3381867139841965,51.997701092782705,300,0-0-0
